status_bucket,num_goals,language,avg_goal_difficulty,nav_hours,poverty_hours,total_hours_lost,lifetime_hours,lifetime_days
permanent_resident,1,en,18.0,22.2,351.5,373.7,7474.0,934.2
permanent_resident,2,es,15.0,25.3,482.1,507.4,10148.0,1268.5
permanent_resident,2,es,13.5,24.7,424.7,449.4,8988.0,1123.5
citizen,3,en,12.33,12.3,270.6,282.9,5658.0,707.2
permanent_resident,1,es,7.0,17.1,497.5,514.6,10292.0,1286.5
permanent_resident,3,es,9.33,13.1,482.5,495.6,9912.0,1239.0
permanent_resident,3,es,13.0,18.7,491.8,510.5,10210.0,1276.2
undocumented,1,en,7.0,20.5,753.6,774.1,15482.0,1935.2
citizen,3,en,11.33,11.2,250.1,261.3,5226.0,653.2
citizen,5,en,12.0,13.9,238.7,252.6,5052.0,631.5
DACA,2,es,10.5,28.8,707.7,736.5,14730.0,1841.2
citizen,4,es,13.25,17.5,359.4,376.9,7538.0,942.2
undocumented,4,es,12.0,39.3,1028.8,1068.1,21362.0,2670.2
undocumented,5,en,12.0,27.4,775.8,803.2,16064.0,2008.0
citizen,1,en,14.0,16.7,265.8,282.5,5650.0,706.2
DACA,1,es,12.0,32.7,704.2,736.9,14738.0,1842.2
DACA,4,en,12.75,27.6,508.1,535.7,10714.0,1339.2
citizen,1,en,9.0,12.0,253.7,265.7,5314.0,664.2
citizen,3,es,13.0,19.3,370.6,389.9,7798.0,974.8
citizen,3,en,11.67,11.4,263.9,275.3,5506.0,688.2
citizen,1,es,12.0,28.2,376.6,404.8,8096.0,1012.0
permanent_resident,3,es,13.67,27.2,384.6,411.8,8236.0,1029.5
citizen,1,en,7.0,6.3,265.7,272.0,5440.0,680.0
citizen,1,es,14.0,21.7,364.2,385.9,7718.0,964.8
undocumented,3,es,10.0,36.3,1047.7,1084.0,21680.0,2710.0
undocumented,2,en,9.5,21.6,765.0,786.6,15732.0,1966.5
DACA,1,es,18.0,45.2,716.1,761.3,15226.0,1903.2
permanent_resident,4,en,12.75,14.9,337.0,351.9,7038.0,879.8
citizen,5,es,12.0,19.6,362.0,381.6,7632.0,954.0
undocumented,3,es,13.0,35.4,1056.4,1091.8,21836.0,2729.5
DACA,3,en,11.33,18.8,476.8,495.6,9912.0,1239.0
undocumented,2,es,12.5,38.5,1032.8,1071.3,21426.0,2678.2
undocumented,1,en,12.0,29.9,786.8,816.7,16334.0,2041.8
DACA,1,en,12.0,23.5,527.5,551.0,11020.0,1377.5
citizen,2,es,11.5,19.1,387.2,406.3,8126.0,1015.8
citizen,5,en,12.0,13.5,334.5,348.0,6960.0,870.0
undocumented,1,es,12.0,36.1,1012.3,1048.4,20968.0,2621.0
undocumented,3,es,11.67,34.5,1008.4,1042.9,20858.0,2607.2
permanent_resident,5,es,12.0,21.0,460.1,481.1,9622.0,1202.8
DACA,3,es,13.67,31.7,734.8,766.5,15330.0,1916.2
DACA,3,en,9.33,19.6,523.9,543.5,10870.0,1358.8
DACA,2,en,13.5,25.6,474.4,500.0,10000.0,1250.0
DACA,1,es,14.0,33.0,694.4,727.4,14548.0,1818.5
citizen,4,es,10.5,14.5,379.2,393.7,7874.0,984.2
DACA,5,en,12.0,21.4,468.5,489.9,9798.0,1224.8
citizen,3,es,12.33,23.5,383.1,406.6,8132.0,1016.5
undocumented,3,es,11.67,40.2,1023.5,1063.7,21274.0,2659.2
undocumented,1,en,18.0,38.5,732.4,770.9,15418.0,1927.2
DACA,2,es,13.5,34.0,712.7,746.7,14934.0,1866.8
undocumented,5,es,12.0,35.4,976.6,1012.0,20240.0,2530.0
undocumented,1,es,7.0,28.3,1049.6,1077.9,21558.0,2694.8
DACA,5,es,12.0,30.6,684.4,715.0,14300.0,1787.5
DACA,1,en,18.0,26.2,493.4,519.6,10392.0,1299.0
permanent_resident,1,en,7.0,10.1,338.0,348.1,6962.0,870.2
citizen,3,es,9.33,16.8,361.1,377.9,7558.0,944.8
undocumented,1,en,12.0,23.6,735.0,758.6,15172.0,1896.5
citizen,2,en,10.5,24.5,387.2,411.7,8234.0,1029.2
citizen,1,es,7.0,16.0,365.6,381.6,7632.0,954.0
permanent_resident,2,en,10.5,17.7,358.4,376.1,7522.0,940.2
permanent_resident,2,es,9.5,19.2,484.1,503.3,10066.0,1258.2
citizen,3,en,11.67,8.2,240.7,248.9,4978.0,622.2
DACA,1,en,14.0,25.1,553.6,578.7,11574.0,1446.8
DACA,1,es,18.0,49.9,712.7,762.6,15252.0,1906.5
permanent_resident,5,en,12.0,1.0,232.6,233.6,4672.0,584.0
permanent_resident,5,es,12.0,27.0,455.4,482.4,9648.0,1206.0
citizen,1,en,18.0,17.1,265.7,282.8,5656.0,707.0
permanent_resident,4,es,10.5,16.5,419.2,435.7,8714.0,1089.2
DACA,1,es,7.0,23.6,722.1,745.7,14914.0,1864.2
undocumented,1,es,12.0,35.7,1021.3,1057.0,21140.0,2642.5
permanent_resident,1,es,18.0,33.9,588.0,621.9,12438.0,1554.8
citizen,3,es,11.67,20.4,404.7,425.1,8502.0,1062.8
permanent_resident,1,en,7.0,6.1,348.0,354.1,7082.0,885.2
DACA,1,es,18.0,39.2,731.4,770.6,15412.0,1926.5
permanent_resident,2,es,10.5,26.0,477.5,503.5,10070.0,1258.8
undocumented,1,es,12.0,38.3,1149.9,1188.2,23764.0,2970.5
undocumented,2,en,11.5,27.3,743.8,771.1,15422.0,1927.8
citizen,3,es,11.33,18.5,363.1,381.6,7632.0,954.0
permanent_resident,1,en,7.0,12.2,333.3,345.5,6910.0,863.8
permanent_resident,5,en,12.0,2.7,327.3,330.0,6600.0,825.0
permanent_resident,1,es,12.0,18.2,384.9,403.1,8062.0,1007.8
citizen,3,es,9.33,18.6,420.2,438.8,8776.0,1097.0
DACA,3,en,9.33,17.7,501.3,519.0,10380.0,1297.5
undocumented,1,es,12.0,37.5,1023.7,1061.2,21224.0,2653.0
undocumented,1,en,18.0,41.5,715.5,757.0,15140.0,1892.5
citizen,3,en,11.0,10.4,241.8,252.2,5044.0,630.5
undocumented,1,en,7.0,19.2,859.0,878.2,17564.0,2195.5
undocumented,4,es,12.0,42.3,1046.9,1089.2,21784.0,2723.0
undocumented,3,en,9.33,16.9,750.6,767.5,15350.0,1918.8
undocumented,2,en,10.5,24.8,703.2,728.0,14560.0,1820.0
undocumented,2,es,12.5,39.2,990.9,1030.1,20602.0,2575.2
undocumented,2,es,13.5,38.8,1044.5,1083.3,21666.0,2708.2
permanent_resident,2,es,12.5,21.7,497.6,519.3,10386.0,1298.2
permanent_resident,3,es,9.33,21.2,479.1,500.3,10006.0,1250.8
citizen,3,es,13.0,24.4,330.3,354.7,7094.0,886.8
DACA,5,en,12.0,20.5,495.0,515.5,10310.0,1288.8
undocumented,5,en,12.0,27.4,765.1,792.5,15850.0,1981.2
undocumented,4,en,10.5,13.3,714.1,727.4,14548.0,1818.5
citizen,1,en,12.0,9.1,279.4,288.5,5770.0,721.2
permanent_resident,3,es,10.0,21.3,474.3,495.6,9912.0,1239.0
citizen,1,en,12.0,6.2,245.3,251.5,5030.0,628.8
citizen,2,en,8.0,8.0,265.9,273.9,5478.0,684.8
citizen,1,en,14.0,12.3,276.2,288.5,5770.0,721.2
DACA,3,es,13.0,34.4,743.7,778.1,15562.0,1945.2
permanent_resident,1,en,7.0,9.0,312.8,321.8,6436.0,804.5
citizen,2,es,8.0,17.1,371.8,388.9,7778.0,972.2
permanent_resident,5,en,12.0,17.6,340.3,357.9,7158.0,894.8
permanent_resident,2,en,12.5,1.0,349.7,350.7,7014.0,876.8
DACA,1,en,9.0,19.0,474.8,493.8,9876.0,1234.5
DACA,1,en,7.0,14.4,504.6,519.0,10380.0,1297.5
citizen,1,es,18.0,28.8,379.6,408.4,8168.0,1021.0
permanent_resident,3,es,11.67,24.6,497.0,521.6,10432.0,1304.0
undocumented,2,es,8.0,27.8,1054.3,1082.1,21642.0,2705.2
permanent_resident,2,es,13.0,25.2,477.6,502.8,10056.0,1257.0
DACA,1,es,9.0,24.3,735.8,760.1,15202.0,1900.2
citizen,3,es,13.67,27.5,455.1,482.6,9652.0,1206.5
citizen,1,es,18.0,16.9,353.5,370.4,7408.0,926.0
undocumented,5,en,12.0,26.6,744.8,771.4,15428.0,1928.5
citizen,2,es,13.5,23.4,399.1,422.5,8450.0,1056.2
DACA,4,en,12.75,22.0,499.5,521.5,10430.0,1303.8
DACA,3,es,10.0,29.9,776.1,806.0,16120.0,2015.0
permanent_resident,2,en,13.5,17.2,357.1,374.3,7486.0,935.8
DACA,3,es,13.67,34.6,710.9,745.5,14910.0,1863.8
undocumented,2,es,10.5,35.6,1035.9,1071.5,21430.0,2678.8
DACA,3,es,12.33,25.3,749.0,774.3,15486.0,1935.8
DACA,1,es,14.0,34.7,709.4,744.1,14882.0,1860.2
citizen,3,es,9.33,18.7,374.2,392.9,7858.0,982.2
citizen,2,en,10.5,9.1,256.4,265.5,5310.0,663.8
undocumented,5,es,12.0,36.4,1061.9,1098.3,21966.0,2745.8
permanent_resident,1,en,7.0,7.4,359.8,367.2,7344.0,918.0
permanent_resident,4,es,10.5,21.3,425.4,446.7,8934.0,1116.8
permanent_resident,2,es,10.5,25.3,475.9,501.2,10024.0,1253.0
citizen,1,en,7.0,13.4,258.1,271.5,5430.0,678.8
permanent_resident,3,en,9.33,1.0,314.0,315.0,6300.0,787.5
permanent_resident,3,es,11.67,25.2,510.9,536.1,10722.0,1340.2
permanent_resident,1,en,14.0,12.1,346.2,358.3,7166.0,895.8
undocumented,2,es,10.5,36.6,1022.4,1059.0,21180.0,2647.5
DACA,5,en,12.0,18.3,505.7,524.0,10480.0,1310.0
permanent_resident,2,es,16.0,26.8,486.8,513.6,10272.0,1284.0
permanent_resident,4,en,12.75,10.4,525.8,536.2,10724.0,1340.5
undocumented,1,en,9.0,20.3,765.5,785.8,15716.0,1964.5
DACA,4,es,13.25,30.8,680.0,710.8,14216.0,1777.0
citizen,2,es,11.5,20.0,372.7,392.7,7854.0,981.8
DACA,1,en,14.0,29.9,530.3,560.2,11204.0,1400.5
DACA,5,es,12.0,31.2,714.3,745.5,14910.0,1863.8
DACA,3,es,10.0,27.1,713.7,740.8,14816.0,1852.0
undocumented,2,es,10.5,35.8,1034.3,1070.1,21402.0,2675.2
undocumented,2,en,13.5,30.7,753.2,783.9,15678.0,1959.8
permanent_resident,1,es,7.0,14.2,438.0,452.2,9044.0,1130.5
permanent_resident,5,es,12.0,29.8,517.8,547.6,10952.0,1369.0
citizen,5,en,12.0,13.8,253.1,266.9,5338.0,667.2
citizen,1,es,9.0,18.9,344.7,363.6,7272.0,909.0
DACA,1,es,12.0,30.6,697.4,728.0,14560.0,1820.0
undocumented,2,en,13.0,29.7,671.6,701.3,14026.0,1753.2
DACA,2,en,16.0,37.5,429.7,467.2,9344.0,1168.0
citizen,3,en,11.33,8.6,324.2,332.8,6656.0,832.0
undocumented,2,es,11.5,38.9,1031.5,1070.4,21408.0,2676.0
citizen,4,en,11.5,10.0,244.7,254.7,5094.0,636.8
citizen,4,en,11.5,13.8,253.5,267.3,5346.0,668.2
citizen,1,en,14.0,17.1,263.8,280.9,5618.0,702.2
DACA,1,es,9.0,27.6,700.4,728.0,14560.0,1820.0
undocumented,2,en,9.5,20.3,747.9,768.2,15364.0,1920.5
DACA,2,es,10.5,27.2,691.1,718.3,14366.0,1795.8
undocumented,3,en,9.33,23.0,737.9,760.9,15218.0,1902.2
permanent_resident,3,en,9.33,12.5,362.3,374.8,7496.0,937.0
citizen,5,en,12.0,9.1,288.4,297.5,5950.0,743.8
DACA,2,en,13.0,27.7,485.6,513.3,10266.0,1283.2
DACA,3,en,9.33,15.2,512.8,528.0,10560.0,1320.0
DACA,1,es,14.0,37.2,713.9,751.1,15022.0,1877.8
citizen,3,en,13.0,16.8,272.5,289.3,5786.0,723.2
citizen,3,es,13.67,25.4,373.1,398.5,7970.0,996.2
undocumented,1,es,14.0,43.7,1076.9,1120.6,22412.0,2801.5
undocumented,1,es,18.0,61.2,1040.0,1101.2,22024.0,2753.0
permanent_resident,2,en,16.0,20.4,260.9,281.3,5626.0,703.2
DACA,1,en,12.0,32.4,649.0,681.4,13628.0,1703.5
citizen,2,en,10.5,9.3,281.5,290.8,5816.0,727.0
permanent_resident,2,es,12.5,27.5,451.9,479.4,9588.0,1198.5
DACA,1,en,18.0,34.5,509.9,544.4,10888.0,1361.0
permanent_resident,1,es,9.0,22.9,465.4,488.3,9766.0,1220.8
permanent_resident,5,es,12.0,23.4,457.3,480.7,9614.0,1201.8
citizen,2,en,13.5,21.2,279.0,300.2,6004.0,750.5
undocumented,2,en,11.5,28.0,845.8,873.8,17476.0,2184.5
citizen,3,es,11.0,18.1,372.4,390.5,7810.0,976.2
permanent_resident,5,es,12.0,23.7,465.3,489.0,9780.0,1222.5
DACA,2,es,10.5,27.1,721.6,748.7,14974.0,1871.8
permanent_resident,5,es,12.0,19.5,457.3,476.8,9536.0,1192.0
permanent_resident,1,en,14.0,12.7,329.3,342.0,6840.0,855.0
undocumented,5,es,12.0,37.3,1041.7,1079.0,21580.0,2697.5
permanent_resident,3,en,14.67,14.4,344.9,359.3,7186.0,898.2
citizen,1,en,14.0,9.6,273.4,283.0,5660.0,707.5
citizen,2,es,13.5,19.2,360.2,379.4,7588.0,948.5
citizen,1,es,7.0,10.0,414.8,424.8,8496.0,1062.0
permanent_resident,4,es,12.0,24.6,481.8,506.4,10128.0,1266.0
citizen,3,en,14.67,14.8,256.8,271.6,5432.0,679.0
permanent_resident,5,en,12.0,11.5,356.3,367.8,7356.0,919.5
citizen,2,en,11.5,17.6,286.9,304.5,6090.0,761.2
citizen,3,es,10.0,17.9,399.4,417.3,8346.0,1043.2
citizen,2,en,9.5,14.6,290.7,305.3,6106.0,763.2
citizen,2,es,10.5,15.5,409.2,424.7,8494.0,1061.8
permanent_resident,5,en,12.0,14.1,353.4,367.5,7350.0,918.8
citizen,2,es,10.5,23.4,361.9,385.3,7706.0,963.2
DACA,3,es,14.67,33.5,783.2,816.7,16334.0,2041.8
undocumented,2,en,12.5,31.1,724.1,755.2,15104.0,1888.0
DACA,2,en,15.0,30.6,527.1,557.7,11154.0,1394.2
undocumented,4,en,11.5,29.8,742.4,772.2,15444.0,1930.5
citizen,4,en,10.5,17.8,274.4,292.2,5844.0,730.5
permanent_resident,3,es,14.67,26.0,473.2,499.2,9984.0,1248.0
DACA,2,en,11.5,22.6,498.5,521.1,10422.0,1302.8
permanent_resident,4,es,12.0,23.3,501.9,525.2,10504.0,1313.0
undocumented,3,en,13.0,29.2,821.2,850.4,17008.0,2126.0
citizen,1,es,7.0,15.1,398.0,413.1,8262.0,1032.8
citizen,1,en,18.0,17.6,319.2,336.8,6736.0,842.0
undocumented,2,es,12.5,44.0,1050.6,1094.6,21892.0,2736.5
permanent_resident,3,en,13.0,17.2,342.3,359.5,7190.0,898.8
undocumented,3,en,14.67,37.7,872.9,910.6,18212.0,2276.5
undocumented,4,es,12.75,38.8,1031.9,1070.7,21414.0,2676.8
permanent_resident,2,en,9.5,9.4,363.0,372.4,7448.0,931.0
DACA,1,es,12.0,28.7,670.1,698.8,13976.0,1747.0
permanent_resident,2,en,10.5,11.0,340.8,351.8,7036.0,879.5
DACA,2,en,10.5,18.7,513.2,531.9,10638.0,1329.8
citizen,5,en,12.0,10.5,248.6,259.1,5182.0,647.8
citizen,1,en,18.0,20.7,291.9,312.6,6252.0,781.5
citizen,2,en,12.5,12.5,270.2,282.7,5654.0,706.8
DACA,3,es,11.67,26.9,690.3,717.2,14344.0,1793.0
DACA,4,es,11.5,34.1,738.1,772.2,15444.0,1930.5
citizen,2,es,16.0,26.5,386.6,413.1,8262.0,1032.8
DACA,5,en,12.0,21.1,478.8,499.9,9998.0,1249.8
permanent_resident,3,es,9.33,15.0,477.9,492.9,9858.0,1232.2
DACA,3,en,12.33,29.9,505.2,535.1,10702.0,1337.8
undocumented,2,en,16.0,40.5,759.5,800.0,16000.0,2000.0
undocumented,5,en,12.0,37.5,729.0,766.5,15330.0,1916.2
permanent_resident,2,es,8.0,31.8,452.7,484.5,9690.0,1211.2
permanent_resident,3,en,11.67,16.8,353.0,369.8,7396.0,924.5
undocumented,1,es,18.0,50.7,1051.1,1101.8,22036.0,2754.5
permanent_resident,4,es,11.5,23.5,497.9,521.4,10428.0,1303.5
permanent_resident,2,es,15.0,31.3,472.7,504.0,10080.0,1260.0
permanent_resident,3,en,13.0,12.0,384.6,396.6,7932.0,991.5
undocumented,3,en,11.67,28.5,734.8,763.3,15266.0,1908.2
undocumented,1,en,18.0,38.3,728.1,766.4,15328.0,1916.0
permanent_resident,4,en,13.25,23.8,329.2,353.0,7060.0,882.5
DACA,1,es,12.0,25.3,704.3,729.6,14592.0,1824.0
undocumented,2,en,16.0,35.8,716.9,752.7,15054.0,1881.8
permanent_resident,2,en,11.5,20.5,340.2,360.7,7214.0,901.8
citizen,3,en,10.0,13.6,257.2,270.8,5416.0,677.0
citizen,5,en,12.0,8.6,245.2,253.8,5076.0,634.5
DACA,2,en,13.0,29.5,506.7,536.2,10724.0,1340.5
citizen,1,es,12.0,18.3,389.7,408.0,8160.0,1020.0
DACA,1,es,12.0,27.4,691.2,718.6,14372.0,1796.5
DACA,2,en,8.0,13.4,511.4,524.8,10496.0,1312.0
undocumented,1,es,14.0,39.9,1046.4,1086.3,21726.0,2715.8
citizen,2,en,9.5,9.7,277.3,287.0,5740.0,717.5
citizen,2,en,8.0,6.3,269.0,275.3,5506.0,688.2
permanent_resident,3,es,10.0,22.4,454.1,476.5,9530.0,1191.2
undocumented,1,en,14.0,29.6,731.3,760.9,15218.0,1902.2
citizen,4,es,12.75,15.7,387.2,402.9,8058.0,1007.2
DACA,1,en,14.0,30.4,522.8,553.2,11064.0,1383.0
DACA,3,en,9.33,17.6,467.7,485.3,9706.0,1213.2
undocumented,3,es,11.0,38.5,1046.6,1085.1,21702.0,2712.8
DACA,5,en,12.0,21.7,527.7,549.4,10988.0,1373.5
undocumented,2,en,10.5,23.4,752.1,775.5,15510.0,1938.8
undocumented,4,es,12.0,34.0,1047.0,1081.0,21620.0,2702.5
undocumented,3,en,11.0,21.7,741.8,763.5,15270.0,1908.8
undocumented,3,es,14.67,35.3,1026.3,1061.6,21232.0,2654.0
DACA,1,es,12.0,25.5,711.1,736.6,14732.0,1841.5
citizen,3,es,14.67,23.4,374.6,398.0,7960.0,995.0
citizen,1,es,9.0,31.7,362.3,394.0,7880.0,985.0
citizen,4,en,11.5,13.6,281.0,294.6,5892.0,736.5
undocumented,2,es,9.5,32.7,1047.7,1080.4,21608.0,2701.0
DACA,2,en,13.5,26.8,587.9,614.7,12294.0,1536.8
DACA,4,es,12.0,27.3,722.2,749.5,14990.0,1873.8
permanent_resident,2,en,15.0,35.5,358.5,394.0,7880.0,985.0
permanent_resident,2,en,10.5,13.0,360.1,373.1,7462.0,932.8
DACA,2,en,10.5,15.8,527.3,543.1,10862.0,1357.8
undocumented,1,en,18.0,41.0,739.5,780.5,15610.0,1951.2
DACA,5,en,12.0,21.8,511.3,533.1,10662.0,1332.8
permanent_resident,2,es,16.0,27.9,485.2,513.1,10262.0,1282.8
DACA,3,en,13.0,29.6,503.8,533.4,10668.0,1333.5
citizen,2,en,15.0,13.3,281.8,295.1,5902.0,737.8
permanent_resident,3,en,14.67,17.1,302.8,319.9,6398.0,799.8
undocumented,5,en,12.0,27.9,741.5,769.4,15388.0,1923.5
undocumented,5,en,12.0,33.0,771.2,804.2,16084.0,2010.5
DACA,2,en,11.5,23.2,500.5,523.7,10474.0,1309.2
citizen,3,es,12.33,28.6,352.6,381.2,7624.0,953.0
undocumented,3,en,13.0,34.0,739.0,773.0,15460.0,1932.5
DACA,3,en,13.0,21.2,510.3,531.5,10630.0,1328.8
undocumented,5,es,12.0,37.3,1038.4,1075.7,21514.0,2689.2
undocumented,2,es,10.5,37.2,1046.1,1083.3,21666.0,2708.2
DACA,3,en,11.33,19.1,485.8,504.9,10098.0,1262.2
permanent_resident,5,en,12.0,9.3,329.6,338.9,6778.0,847.2
permanent_resident,4,es,10.5,23.4,422.8,446.2,8924.0,1115.5
citizen,1,es,14.0,18.3,376.3,394.6,7892.0,986.5
undocumented,5,es,12.0,36.4,1039.0,1075.4,21508.0,2688.5
permanent_resident,1,en,14.0,22.6,340.8,363.4,7268.0,908.5
undocumented,1,es,9.0,28.7,1015.1,1043.8,20876.0,2609.5
citizen,4,es,11.5,21.5,390.4,411.9,8238.0,1029.8
undocumented,1,es,9.0,24.8,1040.6,1065.4,21308.0,2663.5
citizen,3,en,13.67,13.6,275.9,289.5,5790.0,723.8
citizen,5,es,12.0,22.8,361.3,384.1,7682.0,960.2
permanent_resident,3,es,13.0,21.7,464.5,486.2,9724.0,1215.5
DACA,4,es,12.75,35.1,738.1,773.2,15464.0,1933.0
undocumented,1,en,14.0,33.4,765.9,799.3,15986.0,1998.2
undocumented,3,en,14.67,34.4,775.5,809.9,16198.0,2024.8
permanent_resident,1,es,12.0,29.3,485.9,515.2,10304.0,1288.0
undocumented,1,en,7.0,19.8,754.0,773.8,15476.0,1934.5
undocumented,1,es,18.0,83.3,1033.0,1116.3,22326.0,2790.8
undocumented,1,es,9.0,27.4,929.4,956.8,19136.0,2392.0
DACA,2,en,12.5,20.5,527.7,548.2,10964.0,1370.5
permanent_resident,3,en,9.33,14.4,358.8,373.2,7464.0,933.0
DACA,4,en,12.75,24.1,525.5,549.6,10992.0,1374.0
undocumented,2,en,11.5,28.3,761.0,789.3,15786.0,1973.2
undocumented,3,es,13.0,41.5,1086.3,1127.8,22556.0,2819.5
undocumented,5,en,12.0,25.0,711.8,736.8,14736.0,1842.0
citizen,1,en,12.0,11.5,232.8,244.3,4886.0,610.8
permanent_resident,1,es,12.0,24.3,473.1,497.4,9948.0,1243.5
citizen,4,en,13.25,10.6,249.1,259.7,5194.0,649.2
DACA,3,es,11.0,29.3,712.9,742.2,14844.0,1855.5
undocumented,2,en,15.0,32.4,715.3,747.7,14954.0,1869.2
DACA,5,es,12.0,30.1,705.2,735.3,14706.0,1838.2
citizen,3,es,11.33,19.5,380.6,400.1,8002.0,1000.2
citizen,3,en,13.67,11.4,273.3,284.7,5694.0,711.8
DACA,2,es,13.0,32.5,712.6,745.1,14902.0,1862.8
citizen,2,es,9.5,28.3,292.1,320.4,6408.0,801.0
citizen,1,en,12.0,15.1,280.1,295.2,5904.0,738.0
permanent_resident,4,en,13.25,20.2,375.8,396.0,7920.0,990.0
DACA,2,es,10.5,21.8,698.1,719.9,14398.0,1799.8
citizen,1,en,7.0,8.0,265.8,273.8,5476.0,684.5
DACA,3,es,11.33,33.9,766.9,800.8,16016.0,2002.0
permanent_resident,2,en,13.5,16.8,356.9,373.7,7474.0,934.2
DACA,4,es,12.75,30.0,717.2,747.2,14944.0,1868.0
undocumented,3,en,10.0,22.9,754.6,777.5,15550.0,1943.8
DACA,3,en,11.33,18.3,525.2,543.5,10870.0,1358.8
citizen,5,es,12.0,21.1,393.0,414.1,8282.0,1035.2
undocumented,5,en,12.0,28.9,764.4,793.3,15866.0,1983.2
DACA,2,en,10.5,15.6,563.1,578.7,11574.0,1446.8
permanent_resident,5,en,12.0,13.9,287.7,301.6,6032.0,754.0
citizen,3,en,13.67,14.0,251.5,265.5,5310.0,663.8
permanent_resident,4,en,12.0,16.1,366.0,382.1,7642.0,955.2
permanent_resident,3,en,11.0,14.9,351.2,366.1,7322.0,915.2
undocumented,3,es,11.0,36.8,1058.8,1095.6,21912.0,2739.0
undocumented,2,en,10.5,47.2,747.8,795.0,15900.0,1987.5
DACA,3,en,13.67,23.3,531.0,554.3,11086.0,1385.8
permanent_resident,4,en,12.75,16.1,342.7,358.8,7176.0,897.0
undocumented,3,en,12.33,33.2,716.0,749.2,14984.0,1873.0
DACA,1,es,14.0,40.4,694.4,734.8,14696.0,1837.0
permanent_resident,3,es,11.33,20.0,452.6,472.6,9452.0,1181.5
permanent_resident,1,en,14.0,18.3,369.1,387.4,7748.0,968.5
permanent_resident,3,en,14.67,16.0,283.2,299.2,5984.0,748.0
citizen,1,en,9.0,5.1,260.9,266.0,5320.0,665.0
citizen,1,en,7.0,8.1,265.8,273.9,5478.0,684.8
permanent_resident,3,en,13.67,20.0,310.9,330.9,6618.0,827.2
permanent_resident,5,en,12.0,15.2,323.8,339.0,6780.0,847.5
permanent_resident,5,es,12.0,23.2,497.0,520.2,10404.0,1300.5
citizen,2,en,13.0,15.2,263.8,279.0,5580.0,697.5
citizen,2,es,10.5,17.3,401.8,419.1,8382.0,1047.8
undocumented,3,es,9.33,27.0,1046.0,1073.0,21460.0,2682.5
undocumented,2,en,12.5,28.9,708.3,737.2,14744.0,1843.0
undocumented,2,en,13.5,33.8,747.0,780.8,15616.0,1952.0
permanent_resident,1,en,12.0,13.5,393.1,406.6,8132.0,1016.5
citizen,3,es,12.33,19.2,340.2,359.4,7188.0,898.5
citizen,1,en,14.0,16.3,238.6,254.9,5098.0,637.2
undocumented,5,es,12.0,40.3,1037.8,1078.1,21562.0,2695.2
permanent_resident,1,es,7.0,17.2,499.2,516.4,10328.0,1291.0
DACA,2,es,13.5,27.4,696.3,723.7,14474.0,1809.2
permanent_resident,2,en,13.0,17.8,398.4,416.2,8324.0,1040.5
citizen,4,en,13.25,12.4,270.3,282.7,5654.0,706.8
undocumented,3,en,13.0,27.7,734.3,762.0,15240.0,1905.0
citizen,4,es,12.0,18.4,358.9,377.3,7546.0,943.2
DACA,2,es,13.5,33.0,658.8,691.8,13836.0,1729.5
citizen,1,en,14.0,9.2,249.2,258.4,5168.0,646.0
DACA,2,es,10.5,28.2,731.5,759.7,15194.0,1899.2
citizen,2,en,16.0,19.4,172.9,192.3,3846.0,480.8
DACA,5,es,12.0,44.9,785.9,830.8,16616.0,2077.0
DACA,2,en,16.0,30.3,521.0,551.3,11026.0,1378.2
undocumented,2,es,16.0,50.8,1039.6,1090.4,21808.0,2726.0
citizen,4,es,12.75,16.1,390.7,406.8,8136.0,1017.0
DACA,4,es,11.5,27.9,735.1,763.0,15260.0,1907.5
permanent_resident,3,en,12.33,11.9,363.7,375.6,7512.0,939.0
DACA,3,es,13.0,30.5,677.0,707.5,14150.0,1768.8
permanent_resident,3,en,12.33,14.8,341.4,356.2,7124.0,890.5
DACA,2,es,12.5,28.6,694.6,723.2,14464.0,1808.0
permanent_resident,1,es,9.0,20.4,474.6,495.0,9900.0,1237.5
DACA,1,es,14.0,28.4,649.8,678.2,13564.0,1695.5
DACA,4,es,12.0,31.4,718.6,750.0,15000.0,1875.0
citizen,1,es,14.0,19.7,353.1,372.8,7456.0,932.0
citizen,1,es,18.0,25.3,371.6,396.9,7938.0,992.2
undocumented,3,es,13.0,44.4,1030.3,1074.7,21494.0,2686.8
undocumented,5,es,12.0,41.4,1021.5,1062.9,21258.0,2657.2
undocumented,2,en,16.0,37.9,744.0,781.9,15638.0,1954.8
undocumented,2,en,12.5,25.0,740.8,765.8,15316.0,1914.5
citizen,1,es,12.0,20.0,395.5,415.5,8310.0,1038.8
permanent_resident,4,en,11.5,14.2,356.5,370.7,7414.0,926.8
DACA,5,en,12.0,18.2,511.2,529.4,10588.0,1323.5
undocumented,5,es,12.0,36.3,1077.1,1113.4,22268.0,2783.5
DACA,5,es,12.0,30.8,712.8,743.6,14872.0,1859.0
undocumented,5,en,12.0,27.7,736.7,764.4,15288.0,1911.0
permanent_resident,4,es,13.25,24.6,461.5,486.1,9722.0,1215.2
permanent_resident,1,en,18.0,26.0,342.7,368.7,7374.0,921.8
undocumented,1,en,18.0,39.8,732.5,772.3,15446.0,1930.8
citizen,2,en,16.0,17.5,278.5,296.0,5920.0,740.0
citizen,2,es,11.5,21.9,350.6,372.5,7450.0,931.2
